Livsmedel 	Vikt (g)	Fibrer (g)	Energi kJ (kJ)	Energi kcal (kcal)	Protein (g)	Kolhydrat (g)	Alkohol (g)	Fett (g)	Mättade fettsyror (g)	Enkelomättade fettsyror (g)	Fleromättade fettsyror (g)	Fettsyra C4-C10 (g)	Fettsyra C12 (g)	Fettsyra C14 (g)	Fettsyra C16 (g)	Fettsyra C18 (g)	Fettsyra C20 (g)	Fettsyra C16:1 (g)	Fettsyra C18:1 (g)	Fettsyra C18:2 (g)	Fettsyra C18:3 (g)	Fettsyra C20:4 (g)	Fettsyra C20:5 (g)	Fettsyra C22:5 (g)	Fettsyra C22:6 (g)	Monosackarider (g)	Disackarider (g)	Sackaros (g)	Retinolekvivalent (µg)	Retinol (µg)	D vitamin (µg)	E vitamin (mg)	?-Tokoferol (mg)	Karoten (µg)	Tiamin (mg)	Riboflavin (mg)	Askorbinsyra (mg)	Niacinekvivalent (mg)	Niacin (mg)	Vitamin B6 (mg)	Vitamin B12 (µg)	Folat (µg)	Fosfor (mg)	Järn (mg)	Kalium (mg)	Kalcium (mg)	Magnesium (mg)	Natrium (mg)	Selen (µg)	Zink (mg)	Kolesterol (mg)	Aska (g)	Vatten (g)	Avfall (%)	
Biff m bambuskott restaurang	100	1,2	405	97	8,2	2,4	0,0	5,8	0,9	2,8	1,9	0,0	0,0	0,0	0,6	0,2	0,0	0,0	2,6	1,6	0,3	0,0	0,0	0,0	0,0	0,4	0,6	0,6	3	3	0,10	0,27	0,27	30	0,02	0,06	1	3,0	1,5	0,10	0,25	16	56	0,88	117	10	8	700	1,7	1,05	19,0	2,1	80,3	0	
Biff m grönsaker o sås nötkött kinesisk rätt	100	0,9	488	117	7,1	5,5	0,0	7,2	2,8	3,5	0,5	0,0	0,1	0,2	1,6	0,7	0,0	0,4	2,9	0,3	0,1	0,0	0,0	0,0	0,0	0,8	0,9	0,9	130	24	0,23	0,50	0,50	1 270	0,05	0,10	5	4,2	2,9	0,26	0,80	8	114	1,60	150	14	45	560	1,0	2,00	39,0	1,9	77,4	0	
Biff m lök o sås nötkött kinesisk rätt	100	0,5	779	186	13,8	3,7	0,0	12,9	2,8	3,5	0,5	0,0	0,1	0,3	1,6	0,7	0,0	0,4	2,9	0,3	0,1	0,0	0,0	0,0	0,0	1,0	1,1	1,1	130	24	0,23	0,50	0,50	1 270	0,05	0,10	5	5,5	2,9	0,26	0,80	8	114	2,10	150	18	13	450	1,0	3,80	23,0	1,7	67,4	0	
Biff ryggbiff nöt	100	0,0	513	123	21,8	0,0	0,0	3,9	1,6	1,7	0,2	0,0	0,0	0,1	0,9	0,6	0,0	0,1	1,5	0,1	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	6	5	0,50	0,10	0,10	8	0,08	0,26	0	9,7	5,7	0,48	1,40	12	189	2,20	333	6	22	58	9,0	3,80	52,0	1,1	73,3	0	
Biff ryggbiff nöt stekt	100	0,0	673	161	28,6	0,0	0,0	5,1	2,0	2,2	0,2	0,0	0,0	0,1	1,1	0,7	0,0	0,2	2,0	0,1	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	8	7	0,66	0,13	0,13	10	0,07	0,27	0	12,7	7,5	0,50	1,47	12	248	2,89	437	8	29	180	11,8	4,99	68,2	1,7	64,6	0	
Biff Stroganoff nötkött	100	0,5	751	179	17,4	3,3	0,4	10,4	4,2	4,3	1,3	0,4	0,1	0,5	2,0	1,0	0,0	0,1	4,0	0,9	0,3	0,0	0,0	0,0	0,0	1,2	1,3	0,6	47	37	0,41	1,25	1,25	115	0,07	0,18	3	7,6	4,4	0,23	0,76	13	175	1,92	370	46	24	557	7,2	3,02	51,2	2,5	65,6	2	
Biff Stroganoff nötkött fryst	100	0,4	450	108	11,9	4,8	0,0	4,4	1,8	2,1	0,2	0,0	0,0	0,1	1,1	0,5	0,0	0,2	1,8	0,1	0,0	0,0	0,0	0,0	0,0	1,0	1,2	0,2	99	90	0,86	1,13	1,13	108	0,04	0,13	0	4,1	1,9	0,13	1,50	6	109	1,50	235	36	11	730	2,5	2,70	68,0	2,5	76,0	0	
Björnbär	100	5,9	184	44	0,7	6,5	0,0	0,4	0,0	0,0	0,3	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,1	0,1	0,0	0,0	0,0	0,0	5,2	1,2	0,5	8	0	0,00	0,60	0,60	96	0,03	0,04	21	0,5	0,4	0,06	0,00	34	21	0,60	196	32	23	2	0,0	0,30	0,0	0,5	86,0	4	
Björnbär frysta	100	7,2	243	58	1,0	8,8	0,0	0,5	0,0	0,0	0,3	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,2	0,2	0,0	0,0	0,0	0,0	6,4	1,5	0,6	6	0	0,00	0,60	0,60	66	0,03	0,05	5	1,4	1,2	0,06	0,00	34	30	0,40	160	20	22	1	0,0	0,30	0,0	0,5	82,0	0	
Björnbär sockrade frysta	100	6,0	288	69	1,0	12,0	0,0	0,5	0,0	0,0	0,3	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,2	0,2	0,0	0,0	0,0	0,0	4,2	7,8	7,8	5	0	0,00	0,54	0,54	60	0,03	0,05	10	1,3	1,1	0,06	0,00	26	27	0,40	146	18	20	1	0,0	0,20	0,0	0,5	80,0	0	
Björnbärssylt	100	2,4	727	174	0,2	41,2	0,0	0,1	0,0	0,0	0,1	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	25,1	16,9	16,9	3	0	0,00	0,30	0,30	36	0,00	0,01	0	0,2	0,2	0,00	0,00	5	18	0,50	100	20	11	50	0,0	0,10	0,0	0,1	56,0	0	
Blod gris	100	0,0	304	73	16,6	0,4	0,0	0,4	0,1	0,0	0,2	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,1	0,0	0,0	0,0	0,0	0,0	0,1	0,0	0,0	28	28	0,10	0,40	0,40	0	0,09	0,03	0	3,6	0,6	0,01	0,60	4	62	39,50	205	7	5	205	14,0	0,30	40,0	1,6	81,0	0	
Blod nöt	100	0,0	294	70	16,4	0,0	0,0	0,4	0,1	0,0	0,2	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,1	0,0	0,0	0,0	0,0	0,0	0,1	0,0	0,0	28	28	0,10	0,40	0,40	0	0,09	0,03	0	3,8	0,8	0,01	0,60	12	23	35,50	43	7	2	330	9,0	0,40	190,0	1,4	81,8	0	
Blodbröd paltbröd	100	4,7	1 199	287	14,4	47,8	0,0	2,8	0,3	0,7	1,0	0,0	0,0	0,0	0,2	0,0	0,0	0,0	0,7	0,9	0,2	0,0	0,0	0,0	0,0	9,6	18,6	18,6	12	12	0,90	0,24	0,24	0	0,33	0,17	0	5,1	2,5	0,28	0,40	14	235	26,00	170	41	16	350	3,0	1,30	60,0	3,3	27,0	0	
Blodbröd, hårt	100	6,0	1 533	366	17,7	65,5	0,0	1,9	0,2	0,5	0,7	0,0	0,0	0,0	0,2	0,0	0,0	0,0	0,5	0,6	0,1	0,0	0,0	0,0	0,0	0,0	0,6	0,1	12	12	0,87	0,24	0,24	0	0,45	0,13	0	6,6	3,3	0,24	0,40	14	465	19,80	240	36	16	160	3,0	1,30	30,0	1,5	7,4	0	
Blodpalt	100	4,7	712	170	8,6	21,9	0,0	4,2	0,5	1,4	1,9	0,0	0,0	0,0	0,4	0,1	0,0	0,0	1,3	1,6	0,3	0,0	0,0	0,0	0,0	4,8	9,3	9,3	12	12	0,90	0,24	0,24	0	0,11	0,06	0	3,3	1,7	0,12	0,40	14	123	13,30	170	18	16	350	3,0	0,90	60,0	2,6	58,0	0	
Blodpudding 13% fett stekt	100	2,5	1 156	276	12,0	21,7	0,0	15,2	6,1	7,0	1,2	0,0	0,0	0,3	3,5	2,0	0,0	0,6	6,1	1,0	0,1	0,0	0,0	0,0	0,0	4,0	7,8	7,8	11	11	1,09	0,16	0,16	0	0,06	0,04	0	3,1	0,9	0,08	0,09	4	100	20,65	151	18	17	435	3,3	1,30	70,7	1,8	46,7	0	
Blodpudding 8% fett stekt	100	2,2	921	220	13,0	18,8	0,0	9,8	4,3	3,9	1,1	0,0	0,0	0,1	2,4	1,6	0,0	0,2	3,6	1,0	0,1	0,0	0,0	0,0	0,0	4,3	8,4	8,4	9	9	0,11	0,04	0,05	0	0,03	0,03	0	3,2	0,8	0,07	0,12	4	100	18,48	151	18	17	435	3,3	1,30	70,7	1,8	54,3	0	
Blodpudding blodkorv 14% fett	100	2,3	1 063	254	11,0	20,0	0,0	14,0	5,6	6,5	1,1	0,0	0,0	0,3	3,2	1,8	0,0	0,6	5,6	1,0	0,1	0,0	0,0	0,0	0,0	3,7	7,2	7,2	10	10	1,00	0,15	0,15	0	0,08	0,05	0	2,9	0,9	0,10	0,10	5	92	19,00	139	17	16	400	3,0	1,20	65,0	1,7	51,0	0	
Blodpudding blodkorv 19% fett	100	2,3	1 259	301	10,6	21,0	0,0	19,0	9,4	7,4	1,3	0,0	0,0	0,6	5,3	3,4	0,1	0,5	6,6	1,1	0,1	0,0	0,0	0,0	0,0	4,2	8,2	8,2	12	12	0,90	0,24	0,24	0	0,05	0,06	0	2,7	0,8	0,08	0,40	5	84	17,70	170	19	16	350	3,0	0,90	65,0	2,1	45,0	0	
Blodpudding ca 10% fett	100	2,0	847	203	12,0	17,3	0,0	9,0	3,9	3,6	1,0	0,0	0,0	0,1	2,2	1,5	0,0	0,2	3,3	0,9	0,1	0,0	0,0	0,0	0,0	4,0	7,7	7,7	8	8	0,10	0,04	0,04	0	0,04	0,03	0	2,9	0,7	0,08	0,14	5	92	17,00	139	17	16	400	3,0	1,20	65,0	1,7	58,0	0	
Blomkål	100	2,4	118	28	1,6	3,9	0,0	0,2	0,0	0,0	0,1	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,1	0,0	0,0	0,0	0,0	1,7	0,2	0,2	1	0	0,00	0,05	0,05	11	0,08	0,05	73	0,9	0,6	0,20	0,00	47	43	0,36	300	17	12	7	0,5	0,40	0,0	0,7	91,3	21	
Blomkål fryst	100	1,9	99	24	2,0	2,3	0,0	0,3	0,1	0,0	0,2	0,0	0,0	0,0	0,1	0,0	0,0	0,0	0,0	0,0	0,1	0,0	0,0	0,0	0,0	2,0	0,1	0,1	2	0	0,00	0,07	0,07	18	0,05	0,07	49	0,7	0,4	0,12	0,00	64	34	0,50	220	22	10	9	0,5	0,30	0,0	0,5	93,0	0	
Blomkål gratinerad	100	1,4	298	71	3,3	5,0	0,0	3,9	1,5	1,6	0,6	0,2	0,1	0,2	0,7	0,3	0,0	0,0	1,5	0,4	0,2	0,0	0,0	0,0	0,0	1,0	1,0	0,1	25	23	0,06	0,55	0,55	27	0,06	0,07	20	1,3	0,6	0,09	0,16	24	75	0,34	210	68	12	195	1,5	0,49	22,0	1,2	85,1	12	
Blomkål kokt utan salt	100	2,3	114	27	1,5	3,7	0,0	0,2	0,0	0,0	0,1	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	1,7	0,2	0,2	1	0	0,00	0,05	0,05	11	0,05	0,03	32	0,8	0,6	0,12	0,00	32	42	0,35	291	17	12	7	0,5	0,39	0,0	0,7	91,6	20	
Blomkålssoppa pulver tillagad m vatten mjölk	100	0,3	213	51	1,6	5,9	0,0	2,2	1,0	1,0	0,1	0,1	0,0	0,1	0,5	0,3	0,0	0,0	0,9	0,1	0,0	0,0	0,0	0,0	0,0	0,2	1,6	0,0	7	7	0,00	0,40	0,40	4	0,23	0,06	0	0,4	0,2	0,04	0,08	22	45	0,11	86	33	4	374	0,5	0,23	2,0	1,3	88,7	0	
Blomkålsstuvning	100	1,5	239	57	2,4	5,9	0,0	2,3	0,9	0,9	0,4	0,1	0,0	0,1	0,4	0,2	0,0	0,0	0,9	0,3	0,1	0,0	0,0	0,0	0,0	1,0	2,0	0,1	12	9	0,01	0,34	0,34	33	0,06	0,07	19	1,0	0,5	0,09	0,14	21	62	0,27	241	55	12	138	1,0	0,42	3,8	1,0	86,9	12	
Blåbär	100	3,1	221	53	0,7	9,1	0,0	0,8	0,0	0,1	0,5	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,1	0,2	0,3	0,0	0,0	0,0	0,0	5,9	0,5	0,5	4	0	0,00	0,10	0,10	47	0,04	0,07	5	0,4	0,3	0,06	0,00	6	20	0,60	86	23	9	3	0,0	0,20	0,0	0,3	86,0	2	
Blåbär frysta	100	3,1	181	43	0,5	7,6	0,0	0,5	0,0	0,1	0,3	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,1	0,1	0,2	0,0	0,0	0,0	0,0	5,9	0,5	0,5	1	0	0,00	0,10	0,10	13	0,04	0,07	5	0,4	0,3	0,06	0,00	6	20	0,60	86	20	9	3	0,0	0,20	0,0	0,3	88,0	0	
Blåbär sockrade frysta	100	3,1	346	83	0,4	18,3	0,0	0,1	0,0	0,0	0,1	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	5,9	10,5	10,5	1	0	0,00	0,10	0,10	13	0,02	0,05	1	0,4	0,3	0,06	0,00	6	7	0,40	60	6	2	3	0,0	0,10	0,0	0,1	78,0	0	
Blåbär torkade	100	10,0	1 382	330	4,6	69,8	0,0	1,0	0,0	0,1	0,6	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,1	0,3	0,4	0,0	0,0	0,0	0,0	36,6	9,3	9,3	13	0	0,00	0,20	0,20	150	0,02	0,10	3	2,3	1,5	0,20	0,00	12	120	4,80	559	140	53	16	0,0	1,00	0,0	1,6	13,0	0	
Blåbärssoppa	100	1,0	167	40	0,2	8,6	0,0	0,2	0,0	0,0	0,2	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,1	0,1	0,0	0,0	0,0	0,0	1,8	4,6	4,6	1	0	0,00	0,03	0,03	14	0,01	0,01	1	0,1	0,1	0,01	0,00	1	6	0,19	27	10	3	2	0,0	0,07	0,0	0,1	89,8	1	
Blåbärssoppa pastöriserad berik	100	0,3	193	46	0,3	10,9	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	1,6	7,4	7,4	1	0	0,00	0,03	0,03	6	0,01	0,02	25	0,2	0,1	0,01	0,00	1	0	0,10	6	5	2	6	0,0	0,10	0,0	0,5	88,0	0	
Blåbärssylt	100	1,5	620	148	0,2	34,9	0,0	0,3	0,0	0,0	0,2	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,1	0,1	0,0	0,0	0,0	0,0	18,8	13,2	13,2	1	0	0,00	0,10	0,10	6	0,01	0,02	0	0,1	0,1	0,00	0,00	1	7	0,30	45	13	5	50	0,0	0,10	0,0	0,1	63,0	0	
Bläckfisk	100	0,0	312	75	16,4	0,0	0,0	0,9	0,3	0,1	0,3	0,0	0,0	0,0	0,2	0,1	0,0	0,0	0,1	0,0	0,0	0,1	0,1	0,0	0,1	0,0	0,0	0,0	50	50	1,30	1,20	1,20	0	0,02	0,12	0	4,0	1,0	0,05	5,00	20	119	0,50	230	12	20	365	50,0	1,60	233,0	1,0	81,7	22	
Bog gris	100	0,0	574	137	18,5	0,0	0,0	7,0	3,0	2,9	0,8	0,0	0,0	0,1	1,8	1,1	0,0	0,2	2,5	0,6	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	9	9	0,57	0,40	0,40	0	0,92	0,39	0	9,5	6,1	0,52	0,63	6	160	1,50	373	7	27	44	11,0	2,80	58,0	1,1	73,4	0	
Bog märgpipa nöt	100	0,0	494	118	21,0	0,0	0,0	3,7	1,5	1,5	0,2	0,0	0,0	0,1	0,8	0,6	0,0	0,1	1,4	0,1	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	5	4	0,60	0,10	0,10	8	0,08	0,31	0	8,1	4,2	0,58	1,20	12	182	2,30	329	6	23	69	8,0	4,90	53,0	1,0	74,3	25	
Bogbladsstek gris rå	100	0,0	574	137	18,5	0,0	0,0	7,0	3,0	2,9	0,8	0,0	0,0	0,1	1,8	1,1	0,0	0,2	2,5	0,6	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	9	9	0,57	0,40	0,40	0	0,92	0,39	0	9,5	6,1	0,52	0,63	6	160	1,50	373	7	27	65	11,0	2,80	58,0	1,1	73,4	27	
Bogfläsk stekt gris	100	0,0	828	198	26,7	0,0	0,0	10,1	4,4	4,2	1,1	0,0	0,0	0,2	2,6	1,5	0,0	0,3	3,7	0,9	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	13	13	0,82	0,58	0,58	0	0,93	0,45	0	13,7	8,9	0,60	0,73	6	231	2,17	539	11	39	206	15,9	4,04	83,8	1,9	61,2	0	
Bondbönor	100	4,2	279	67	5,6	7,5	0,0	0,6	0,1	0,1	0,3	0,0	0,0	0,0	0,1	0,0	0,0	0,0	0,1	0,3	0,0	0,0	0,0	0,0	0,0	1,2	0,5	0,5	18	0	0,00	0,30	0,30	210	0,17	0,11	33	2,4	1,5	0,07	0,00	104	95	1,90	250	22	38	5	1,0	1,90	0,0	1,1	81,0	66	
Bondbönor torkade	100	16,4	1 331	318	25,0	41,9	0,0	1,7	0,2	0,3	0,7	0,0	0,0	0,0	0,2	0,0	0,0	0,0	0,3	0,7	0,1	0,0	0,0	0,0	0,0	2,4	1,1	1,1	35	0	0,00	0,34	0,34	420	0,50	0,30	0	6,7	2,5	0,56	0,00	423	390	7,10	1 530	102	192	13	2,2	2,80	0,0	3,1	11,9	0	
Bondomelett	100	0,6	446	107	9,0	8,0	0,0	4,1	1,0	2,0	0,7	0,0	0,0	0,0	0,7	0,3	0,0	0,1	1,8	0,5	0,1	0,0	0,0	0,0	0,0	0,9	0,4	0,4	54	51	0,49	0,86	0,86	39	0,10	0,14	3	3,2	1,3	0,18	0,47	17	119	0,97	306	25	18	469	7,3	1,02	117,0	1,8	76,5	8	
Bordsmargarin Becel Gold 70% fett berik	100	0,0	2 597	621	0,4	0,0	0,0	70,0	19,0	16,0	35,0	0,4	3,0	1,2	10,9	2,6	0,0	0,0	15,4	28,7	6,0	0,0	0,0	0,0	0,0	0,0	0,4	0,0	800	800	10,00	20,00	20,00	0	0,00	0,00	0	0,1	0,0	0,00	0,00	0	0	0,00	0	0	0	500	0,0	0,00	0,0	1,3	28,4	0	
Bordsmargarin Bregott 75% fett berik 	100	0,0	2 792	667	0,5	0,5	0,0	75,0	37,2	25,0	8,0	6,1	1,9	5,7	16,4	6,2	0,3	0,8	23,1	5,7	2,3	0,0	0,0	0,0	0,0	0,0	0,4	0,0	919	900	7,50	6,81	6,81	230	0,01	0,02	0	0,2	0,1	0,01	0,10	3	26	0,20	20	18	3	470	0,0	0,10	180,0	1,5	22,5	0	
Bordsmargarin Bregott havssaltat 80% fett berik 	100	0,0	2 977	712	0,5	0,5	0,0	80,0	39,2	26,5	8,5	6,4	2,0	6,0	17,3	6,5	0,3	0,9	24,5	6,1	2,4	0,0	0,0	0,0	0,0	0,0	0,4	0,0	919	900	7,50	6,81	6,81	230	0,01	0,02	0	0,2	0,1	0,01	0,10	3	26	0,20	20	18	3	2 000	0,0	0,10	180,0	1,5	17,5	0	
Bordsmargarin Bregott mellan 60% fett berik 	100	0,0	2 271	543	1,0	2,0	0,0	60,0	29,7	20,0	6,4	4,9	1,5	4,5	13,1	5,0	0,2	0,7	18,5	4,6	1,8	0,0	0,0	0,0	0,0	0,0	1,6	0,0	912	900	7,50	5,73	5,73	140	0,01	0,02	0	0,3	0,1	0,01	0,10	3	26	0,20	20	18	3	395	0,0	0,10	124,8	0,9	36,1	0	
Bordsmargarin Keiju Mjölkfritt 80% berik	100	0,0	2 960	707	0,0	0,0	0,0	80,0	21,6	38,5	16,3	0,8	2,7	1,3	13,8	2,2	0,4	0,2	37,0	11,3	4,9	0,0	0,0	0,0	0,0	0,0	0,0	0,0	900	900	7,50	9,00	9,00	0	0,00	0,00	0	0,0	0,0	0,00	0,00	0	0	0,00	0	0	0	400	0,0	0,00	0,0	1,0	19,0	0	
Bordsmargarin Keiju Runda Bords 60% berik	100	0,0	2 246	537	0,3	1,2	0,0	60,0	22,3	23,8	11,1	1,4	4,5	2,0	12,2	1,7	0,3	0,1	22,3	7,1	3,9	0,0	0,0	0,0	0,0	0,0	1,2	0,0	900	900	7,50	8,00	8,00	0	0,00	0,00	0	0,1	0,0	0,00	0,00	0	0	0,00	0	0	0	600	0,0	0,00	0,0	1,5	37,0	0	
Bordsmargarin Milda 70% fett berik extrasaltat	100	0,0	2 602	622	0,3	0,4	0,0	70,0	23,0	33,0	14,0	0,7	5,6	2,1	11,9	2,1	0,0	0,0	31,5	9,1	4,2	0,0	0,0	0,0	0,0	0,0	0,4	0,0	800	800	10,00	9,00	9,00	0	0,00	0,00	0	0,1	0,0	0,00	0,00	0	0	0,00	0	0	0	600	0,0	0,00	0,0	1,5	27,8	0	
Bordsmargarin Milda 70% fett berik normalsaltat 	100	0,0	2 602	622	0,3	0,4	0,0	70,0	23,0	33,0	14,0	0,7	5,6	2,1	11,9	2,1	0,0	0,0	31,5	9,1	4,2	0,0	0,0	0,0	0,0	0,0	0,4	0,0	800	800	10,00	9,00	9,00	0	0,00	0,00	0	0,1	0,0	0,00	0,00	0	0	0,00	0	0	0	500	0,0	0,00	0,0	1,3	28,1	0	
Bostongurka	100	1,8	328	79	1,0	16,6	0,0	0,4	0,1	0,0	0,2	0,0	0,0	0,0	0,1	0,0	0,0	0,0	0,0	0,1	0,1	0,0	0,0	0,0	0,0	9,3	6,4	6,4	32	0	0,00	0,20	0,20	384	0,00	0,00	0	0,4	0,2	0,00	0,00	8	4	0,10	170	3	11	600	0,0	0,20	0,0	1,2	79,0	0	
Bovete hela el krossade korn	100	5,8	1 419	339	11,1	65,3	0,0	2,0	0,3	0,2	0,9	0,0	0,0	0,0	0,3	0,0	0,0	0,0	0,2	0,8	0,1	0,0	0,0	0,0	0,0	0,2	0,2	0,2	1	0	0,00	0,10	0,10	12	0,39	0,10	0	5,4	3,5	0,40	0,00	40	320	3,80	460	18	180	1	5,0	2,50	0,0	1,8	14,0	0	
Bovetegröt	100	1,1	268	64	1,5	13,1	0,0	0,3	0,0	0,0	0,1	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,1	0,0	0,0	0,0	0,0	0,0	3,4	1,0	0,9	11	0	0,00	0,20	0,20	130	0,04	0,02	0	0,8	0,5	0,03	0,00	4	44	0,68	101	8	25	119	0,6	0,36	0,0	0,6	83,4	0	
Bovetemjöl ljust	100	1,9	1 493	357	6,6	76,0	0,0	2,0	0,3	0,5	0,5	0,0	0,0	0,0	0,2	0,0	0,0	0,0	0,5	0,5	0,1	0,0	0,0	0,0	0,0	0,2	0,2	0,2	0	0	0,00	0,32	0,32	0	0,35	0,11	0	3,8	2,7	0,28	0,00	20	190	2,10	200	8	48	1	5,0	2,00	0,0	0,9	12,6	0	
Braxen	100	0,0	432	103	16,7	0,0	0,0	4,0	0,7	0,8	1,3	0,0	0,0	0,0	0,5	0,2	0,0	0,2	0,5	0,2	0,1	0,2	0,2	0,1	0,4	0,0	0,0	0,0	14	14	5,50	1,30	1,30	0	0,07	0,07	0	7,1	4,0	0,12	5,00	9	210	0,40	350	63	26	43	31,0	0,50	60,0	1,3	78,0	40	
Brieost vitmögelost 28% fett	100	0,0	1 381	330	19,8	0,5	0,0	28,0	18,2	7,2	0,7	2,4	0,9	2,9	8,0	3,1	0,1	0,4	6,3	0,5	0,2	0,0	0,0	0,0	0,0	0,0	0,1	0,0	275	265	0,19	0,60	0,60	122	0,05	0,34	0	5,0	0,4	0,24	1,70	65	380	0,20	100	600	20	880	5,5	2,40	90,0	2,7	49,0	0	
Brieost vitmögelost 34% fett	100	0,0	1 582	378	17,0	2,1	0,0	34,0	21,4	9,0	1,4	2,3	1,0	3,6	10,0	3,0	0,1	0,7	7,7	0,9	0,2	0,1	0,0	0,0	0,0	0,1	0,0	0,0	361	353	0,63	1,60	1,60	96	0,03	0,39	0	4,5	0,6	0,16	1,00	40	300	0,26	80	466	14	445	7,8	2,00	108,0	3,2	43,8	0	
Broccoli	100	3,1	147	35	3,5	3,1	0,0	0,3	0,0	0,0	0,1	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,1	0,0	0,0	0,0	0,0	1,7	0,2	0,2	39	0	0,00	0,36	0,36	470	0,08	0,12	83	1,2	0,6	0,21	0,00	175	81	0,66	332	62	23	4	0,5	0,40	0,0	0,9	89,1	39	
Broccoli fryst	100	2,7	121	29	3,4	1,8	0,0	0,3	0,1	0,0	0,1	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,1	0,0	0,0	0,0	0,0	1,1	0,3	0,3	33	0	0,00	0,46	0,46	400	0,07	0,11	72	1,1	0,5	0,18	0,00	175	59	0,70	250	41	16	7	0,5	0,30	0,0	0,8	91,0	0	
Broccoligratäng mjölk kaffegrädde ost ägg hemlagad	100	1,7	417	100	6,2	3,4	0,0	6,5	3,4	2,1	0,7	0,4	0,2	0,4	1,7	0,6	0,0	0,1	1,9	0,4	0,2	0,0	0,0	0,0	0,0	0,6	1,8	0,1	63	48	0,35	1,64	1,64	180	0,05	0,14	15	1,6	0,2	0,07	0,28	59	115	0,49	123	95	21	272	4,0	1,46	85,7	1,4	80,8	0	
Broccolilåda rökt skinka hårdost	100	0,5	665	159	13,6	2,9	0,0	10,3	5,4	3,2	0,6	0,7	0,2	0,7	2,6	1,0	0,0	0,2	3,0	0,4	0,1	0,0	0,0	0,0	0,0	0,3	2,3	0,0	113	104	0,46	0,82	0,82	112	0,09	0,23	6	3,6	0,6	0,11	0,81	35	230	0,68	216	223	21	455	9,2	1,43	125,5	2,2	70,5	9	
Brun farin	100	0,0	1 624	388	0,0	95,5	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	1,0	93,0	93,0	0	0	0,00	0,00	0,00	0	0,00	0,03	0	0,0	0,0	0,00	0,00	0	1	7,20	320	185	28	55	0,0	0,00	0,0	2,0	2,5	0	
Bruna bönor kokta	100	6,4	613	146	8,5	23,2	0,0	0,6	0,1	0,0	0,3	0,0	0,0	0,0	0,1	0,0	0,0	0,0	0,0	0,1	0,2	0,0	0,0	0,0	0,0	3,2	3,2	3,2	1	0	0,00	0,13	0,13	7	0,15	0,05	0	2,3	0,9	0,07	0,00	107	163	1,97	405	54	51	351	0,9	0,78	0,0	2,4	58,9	0	
Bruna bönor konserv	100	4,7	413	99	4,4	15,7	0,0	0,9	0,1	0,1	0,5	0,0	0,0	0,0	0,1	0,0	0,0	0,0	0,1	0,2	0,3	0,0	0,0	0,0	0,0	0,4	2,0	2,0	1	0	0,00	0,07	0,07	6	0,03	0,04	0	1,0	0,3	0,02	0,00	130	83	3,20	234	23	44	235	0,5	0,90	0,0	1,3	73,0	0	
Bruna bönor torkade	100	16,4	1 327	317	22,0	45,1	0,0	1,5	0,2	0,1	0,9	0,0	0,0	0,0	0,2	0,0	0,0	0,0	0,1	0,3	0,6	0,0	0,0	0,0	0,0	1,6	3,0	3,0	2	0	0,00	0,34	0,34	18	0,55	0,20	0	5,9	2,2	0,30	0,00	394	420	5,00	1 040	135	131	25	2,2	2,00	0,0	3,8	11,2	0	
